PROVINSI;2010 L;2011 L;2012 L;2013 L;2014 L;2015 L;2016 L;2017 L;2010 P;2011 P;2012 P;2013 P;2014 P;2015 P;2016 P;2017 P
ACEH;67.17;67.25;67.32;67.4;67.44;67.59;67.61;67.62;71.09;71.16;71.22;71.3;71.34;71.49;71.52;71.55
SUMATERA UTARA;65.59;65.76;65.93;66.06;66.16;66.41;66.48;66.49;69.43;69.61;69.78;69.91;70.01;70.26;70.29;70.29
SUMATERA BARAT;65.7;65.9;66.11;66.31;66.41;66.75;66.9;66.94;69.58;69.78;69.99;70.2;70.31;70.65;70.65;70.7
RIAU;68.26;68.43;68.61;68.79;68.88;69.05;69.1;69.12;72.14;72.3;72.46;72.64;72.73;72.9;72.9;72.92
JAMBI;67.99;68.14;68.3;68.46;68.54;68.67;68.69;68.75;71.88;72.03;72.18;72.33;72.41;72.54;72.62;72.67
SUMATERA SELATAN;66.45;66.62;66.78;66.95;67.03;67.25;67.28;67.29;70.34;70.49;70.66;70.83;70.91;71.13;71.16;71.17
BENGKULU;65.92;66.08;66.26;66.43;66.47;66.6;66.62;66.64;69.81;69.98;70.16;70.32;70.35;70.48;70.49;70.51
LAMPUNG;67.01;67.23;67.45;67.66;67.76;68;68.03;68.04;70.9;71.1;71.31;71.53;71.64;71.88;71.9;71.91
KEP. BANGKA BELITUNG;67.25;67.42;67.6;67.77;67.85;68.01;68.05;68.08;71.14;71.3;71.45;71.61;71.69;71.85;71.88;71.89
KEP. RIAU;66.54;66.76;66.98;67.18;67.28;67.54;67.59;67.6;70.39;70.59;70.81;71.02;71.12;71.38;71.39;71.4
DKI JAKARTA;69.86;70.02;70.19;70.36;70.44;70.6;70.72;70.78;73.65;73.8;73.96;74.12;74.2;74.36;74.41;74.41
JAWA BARAT;69.4;69.68;69.95;70.22;70.35;70.54;70.57;70.58;73.27;73.53;73.79;74.05;74.18;74.36;74.39;74.42
JAWA TENGAH;70.8;70.99;71.18;71.37;71.97;72.05;72.1;72.16;74.75;74.92;75.1;75.28;75.87;75.95;75.99;76.02
DI YOGYAKARTA;72.36;72.47;72.57;72.67;72.72;72.9;72.92;72.95;76.06;76.14;76.24;76.32;76.36;76.54;76.54;76.57
JAWA TIMUR;68;68.13;68.25;68.45;68.56;68.79;68.8;68.82;71.89;72.01;72.13;72.33;72.44;72.67;72.68;72.7
BANTEN;66.6;66.78;66.97;67.15;67.24;67.54;67.54;67.57;70.48;70.66;70.84;71.02;71.11;71.41;71.44;71.47
BALI;68.73;68.89;69.06;69.24;69.33;69.49;69.55;69.58;72.59;72.76;72.91;73.07;73.15;73.31;73.32;73.35
NUSA TENGGARA BARAT;61.95;62.27;62.56;62.88;63.04;63.52;63.55;63.57;65.77;66.09;66.4;66.7;66.85;67.33;67.39;67.42
NUSA TENGGARA TIMUR;63.42;63.59;63.77;63.95;64.04;64.09;64.17;64.2;67.24;67.41;67.6;67.77;67.85;67.91;67.92;67.96
KALIMANTAN BARAT;67.15;67.35;67.56;67.76;67.86;67.97;67.99;68;71.07;71.28;71.47;71.66;71.75;71.87;71.89;71.9
KALIMANTAN TENGAH;67.16;67.25;67.35;67.41;67.52;67.67;67.68;67.69;70.98;71.06;71.16;71.23;71.34;71.49;71.49;71.5
KALIMANTAN SELATAN;64.76;64.99;65.23;65.46;65.57;65.9;65.92;65.98;68.63;68.86;69.09;69.33;69.45;69.78;69.84;69.95
KALIMANTAN TIMUR;71.03;71.25;71.46;71.68;71.79;71.82;71.85;71.87;74.84;75.05;75.27;75.46;75.56;75.59;75.59;75.61
KALIMANTAN UTARA;-;-;-;70.06;70.17;70.47;70.49;70.5;-;-;-;73.88;73.98;74.28;74.3;74.34
SULAWESI UTARA;68.51;68.65;68.8;68.95;69.03;69.08;69.09;69.11;72.39;72.55;72.7;72.85;72.92;72.98;72.99;73.01
SULAWESI TENGAH;64.17;64.48;64.8;65.11;65.27;65.34;65.39;65.4;68.07;68.39;68.7;69.02;69.18;69.26;69.28;69.29
SULAWESI SELATAN;67.01;67.2;67.4;67.59;67.69;67.89;67.94;67.96;70.94;71.12;71.31;71.5;71.59;71.8;71.84;71.86
SULAWESI TENGGARA;67.72;67.93;68.14;68.35;68.45;68.5;68.54;68.57;71.67;71.87;72.08;72.3;72.41;72.46;72.47;72.47
GORONTALO;64.51;64.68;64.84;65;65.08;65.2;65.22;65.22;68.41;68.59;68.77;68.94;69.03;69.14;69.16;69.2
SULAWESI BARAT;60.64;60.92;61.18;61.46;62.18;62.36;62.49;62.52;64.45;64.72;65;65.28;66;66.18;66.2;66.23
MALUKU;62.59;62.74;62.9;63.04;63.11;63.41;63.44;63.49;66.42;66.58;66.74;66.9;66.98;67.28;67.34;67.39
MALUKU UTARA;64.8;64.97;65.12;65.31;65.41;65.5;65.53;65.56;68.69;68.88;69.08;69.28;69.38;69.48;69.5;69.53
PAPUA BARAT;62.7;62.88;63;63.17;63.26;63.31;63.32;63.34;66.57;66.72;66.86;67.02;67.1;67.15;67.16;67.19
PAPUA;62.51;62.66;62.81;62.97;63.05;63.3;63.44;63.45;66.19;66.34;66.48;66.64;66.72;66.97;66.99;67
INDONESIA;67.89;68.09;68.29;68.49;68.87;68.93;69.09;69.16;71.83;72.02;72.22;72.41;72.59;72.78;72.8;73.06
